case:concept:name,concept:name,time:timestamp
Case 64,examine casually,2023-09-19 19:01:18
Case 365,register request,2023-09-19 19:01:23
Case 65,examine thoroughly,2023-09-19 19:01:23
Case 366,register request,2023-09-19 19:01:28
Case 66,examine thoroughly,2023-09-19 19:01:28
Case 367,register request,2023-09-19 19:01:33
Case 67,check ticket,2023-09-19 19:01:33
Case 368,register request,2023-09-19 19:01:38
Case 68,check ticket,2023-09-19 19:01:38
Case 369,register request,2023-09-19 19:01:43
Case 69,check ticket,2023-09-19 19:01:43
Case 370,register request,2023-09-19 19:01:48
Case 70,examine casually,2023-09-19 19:01:48
Case 371,register request,2023-09-19 19:01:53
Case 71,examine casually,2023-09-19 19:01:53
Case 372,register request,2023-09-19 19:01:58
Case 72,examine casually,2023-09-19 19:01:58
Case 373,register request,2023-09-19 19:02:03
Case 73,examine casually,2023-09-19 19:02:03
Case 374,register request,2023-09-19 19:02:08
Case 74,examine thoroughly,2023-09-19 19:02:08
Case 375,register request,2023-09-19 19:02:13
Case 75,examine thoroughly,2023-09-19 19:02:13
Case 376,register request,2023-09-19 19:02:18
Case 76,examine thoroughly,2023-09-19 19:02:18
Case 377,register request,2023-09-19 19:02:23
Case 77,check ticket,2023-09-19 19:02:23
Case 378,register request,2023-09-19 19:02:28
Case 78,examine thoroughly,2023-09-19 19:02:28
Case 379,register request,2023-09-19 19:02:33
Case 79,examine thoroughly,2023-09-19 19:02:33
Case 380,register request,2023-09-19 19:02:38
Case 80,examine thoroughly,2023-09-19 19:02:38
Case 381,register request,2023-09-19 19:02:43
Case 81,check ticket,2023-09-19 19:02:43
Case 382,register request,2023-09-19 19:02:48
Case 82,check ticket,2023-09-19 19:02:48
Case 383,register request,2023-09-19 19:02:53
Case 83,examine thoroughly,2023-09-19 19:02:53
Case 384,register request,2023-09-19 19:02:58
Case 84,examine thoroughly,2023-09-19 19:02:58
Case 385,register request,2023-09-19 19:03:03
Case 85,check ticket,2023-09-19 19:03:03
Case 386,register request,2023-09-19 19:03:08
Case 86,examine thoroughly,2023-09-19 19:03:08
Case 387,register request,2023-09-19 19:03:13
Case 87,examine thoroughly,2023-09-19 19:03:13
Case 388,register request,2023-09-19 19:03:18
Case 88,examine thoroughly,2023-09-19 19:03:18
Case 389,register request,2023-09-19 19:03:23
Case 89,examine thoroughly,2023-09-19 19:03:23
Case 390,register request,2023-09-19 19:03:28
Case 90,check ticket,2023-09-19 19:03:28
Case 391,register request,2023-09-19 19:03:33
Case 91,examine casually,2023-09-19 19:03:33
Case 392,register request,2023-09-19 19:03:38
Case 92,examine casually,2023-09-19 19:03:38
Case 393,register request,2023-09-19 19:03:43
Case 93,check ticket,2023-09-19 19:03:43
Case 394,register request,2023-09-19 19:03:48
Case 94,check ticket,2023-09-19 19:03:48
Case 395,register request,2023-09-19 19:03:53
Case 95,examine casually,2023-09-19 19:03:53
Case 396,register request,2023-09-19 19:03:58
Case 96,examine thoroughly,2023-09-19 19:03:58
Case 397,register request,2023-09-19 19:04:03
Case 97,examine casually,2023-09-19 19:04:03
Case 398,register request,2023-09-19 19:04:08
Case 98,check ticket,2023-09-19 19:04:08
Case 399,register request,2023-09-19 19:04:13
Case 99,examine casually,2023-09-19 19:04:13
Case 400,register request,2023-09-19 19:04:18
Case 100,check ticket,2023-09-19 19:04:18
Case 401,register request,2023-09-19 19:04:23
Case 101,examine casually,2023-09-19 19:04:23
Case 402,register request,2023-09-19 19:04:28
Case 102,examine thoroughly,2023-09-19 19:04:28
Case 403,register request,2023-09-19 19:04:33
Case 103,examine casually,2023-09-19 19:04:33
Case 404,register request,2023-09-19 19:04:38
Case 104,examine thoroughly,2023-09-19 19:04:38
Case 405,register request,2023-09-19 19:04:43
Case 105,examine thoroughly,2023-09-19 19:04:43
Case 406,register request,2023-09-19 19:04:48
Case 106,examine casually,2023-09-19 19:04:48
Case 407,register request,2023-09-19 19:04:53
Case 107,examine thoroughly,2023-09-19 19:04:53
Case 408,register request,2023-09-19 19:04:58
Case 108,examine casually,2023-09-19 19:04:58
Case 409,register request,2023-09-19 19:05:03
Case 109,examine thoroughly,2023-09-19 19:05:03
Case 410,register request,2023-09-19 19:05:08
Case 110,examine thoroughly,2023-09-19 19:05:08
